--------------------------------------------------------------------------------
Periodic Process Logger with Auto Scheduled  Log Report Facility :Wed Dec  7 17:04:10 2022
--------------------------------------------------------------------------------
{'name': 'systemd', 'username': 'root', 'pid': 1, 'vms': 164.40234375}
{'name': 'kthreadd', 'username': 'root', 'pid': 2, 'vms': 0.0}
{'name': 'rcu_gp', 'username': 'root', 'pid': 3, 'vms': 0.0}
{'name': 'rcu_par_gp', 'username': 'root', 'pid': 4, 'vms': 0.0}
{'name': 'netns', 'username': 'root', 'pid': 5, 'vms': 0.0}
{'name': 'kworker/0:0H-events_highpri', 'username': 'root', 'pid': 7, 'vms': 0.0}
{'name': 'kworker/0:1-events', 'username': 'root', 'pid': 8, 'vms': 0.0}
{'name': 'kworker/u16:0-i915', 'username': 'root', 'pid': 9, 'vms': 0.0}
{'name': 'mm_percpu_wq', 'username': 'root', 'pid': 10, 'vms': 0.0}
{'name': 'rcu_tasks_rude_', 'username': 'root', 'pid': 11, 'vms': 0.0}
{'name': 'rcu_tasks_trace', 'username': 'root', 'pid': 12, 'vms': 0.0}
{'name': 'ksoftirqd/0', 'username': 'root', 'pid': 13, 'vms': 0.0}
{'name': 'rcu_sched', 'username': 'root', 'pid': 14, 'vms': 0.0}
{'name': 'migration/0', 'username': 'root', 'pid': 15, 'vms': 0.0}
{'name': 'idle_inject/0', 'username': 'root', 'pid': 16, 'vms': 0.0}
{'name': 'cpuhp/0', 'username': 'root', 'pid': 17, 'vms': 0.0}
{'name': 'cpuhp/1', 'username': 'root', 'pid': 18, 'vms': 0.0}
{'name': 'idle_inject/1', 'username': 'root', 'pid': 19, 'vms': 0.0}
{'name': 'migration/1', 'username': 'root', 'pid': 20, 'vms': 0.0}
{'name': 'ksoftirqd/1', 'username': 'root', 'pid': 21, 'vms': 0.0}
{'name': 'kworker/1:0H-events_highpri', 'username': 'root', 'pid': 23, 'vms': 0.0}
{'name': 'cpuhp/2', 'username': 'root', 'pid': 24, 'vms': 0.0}
{'name': 'idle_inject/2', 'username': 'root', 'pid': 25, 'vms': 0.0}
{'name': 'migration/2', 'username': 'root', 'pid': 26, 'vms': 0.0}
{'name': 'ksoftirqd/2', 'username': 'root', 'pid': 27, 'vms': 0.0}
{'name': 'kworker/2:0H-kblockd', 'username': 'root', 'pid': 29, 'vms': 0.0}
{'name': 'cpuhp/3', 'username': 'root', 'pid': 30, 'vms': 0.0}
{'name': 'idle_inject/3', 'username': 'root', 'pid': 31, 'vms': 0.0}
{'name': 'migration/3', 'username': 'root', 'pid': 32, 'vms': 0.0}
{'name': 'ksoftirqd/3', 'username': 'root', 'pid': 33, 'vms': 0.0}
{'name': 'kworker/3:0H-events_highpri', 'username': 'root', 'pid': 35, 'vms': 0.0}
{'name': 'cpuhp/4', 'username': 'root', 'pid': 36, 'vms': 0.0}
{'name': 'idle_inject/4', 'username': 'root', 'pid': 37, 'vms': 0.0}
{'name': 'migration/4', 'username': 'root', 'pid': 38, 'vms': 0.0}
{'name': 'ksoftirqd/4', 'username': 'root', 'pid': 39, 'vms': 0.0}
{'name': 'kworker/4:0H-events_highpri', 'username': 'root', 'pid': 41, 'vms': 0.0}
{'name': 'cpuhp/5', 'username': 'root', 'pid': 42, 'vms': 0.0}
{'name': 'idle_inject/5', 'username': 'root', 'pid': 43, 'vms': 0.0}
{'name': 'migration/5', 'username': 'root', 'pid': 44, 'vms': 0.0}
{'name': 'ksoftirqd/5', 'username': 'root', 'pid': 45, 'vms': 0.0}
{'name': 'kworker/5:0H-events_highpri', 'username': 'root', 'pid': 47, 'vms': 0.0}
{'name': 'cpuhp/6', 'username': 'root', 'pid': 48, 'vms': 0.0}
{'name': 'idle_inject/6', 'username': 'root', 'pid': 49, 'vms': 0.0}
{'name': 'migration/6', 'username': 'root', 'pid': 50, 'vms': 0.0}
{'name': 'ksoftirqd/6', 'username': 'root', 'pid': 51, 'vms': 0.0}
{'name': 'kworker/6:0H-events_highpri', 'username': 'root', 'pid': 53, 'vms': 0.0}
{'name': 'cpuhp/7', 'username': 'root', 'pid': 54, 'vms': 0.0}
{'name': 'idle_inject/7', 'username': 'root', 'pid': 55, 'vms': 0.0}
{'name': 'migration/7', 'username': 'root', 'pid': 56, 'vms': 0.0}
{'name': 'ksoftirqd/7', 'username': 'root', 'pid': 57, 'vms': 0.0}
{'name': 'kworker/7:0H-events_highpri', 'username': 'root', 'pid': 59, 'vms': 0.0}
{'name': 'kdevtmpfs', 'username': 'root', 'pid': 60, 'vms': 0.0}
{'name': 'inet_frag_wq', 'username': 'root', 'pid': 61, 'vms': 0.0}
{'name': 'kauditd', 'username': 'root', 'pid': 62, 'vms': 0.0}
{'name': 'khungtaskd', 'username': 'root', 'pid': 63, 'vms': 0.0}
{'name': 'oom_reaper', 'username': 'root', 'pid': 64, 'vms': 0.0}
{'name': 'writeback', 'username': 'root', 'pid': 65, 'vms': 0.0}
{'name': 'kcompactd0', 'username': 'root', 'pid': 66, 'vms': 0.0}
{'name': 'ksmd', 'username': 'root', 'pid': 67, 'vms': 0.0}
{'name': 'khugepaged', 'username': 'root', 'pid': 68, 'vms': 0.0}
{'name': 'kworker/2:1-events', 'username': 'root', 'pid': 74, 'vms': 0.0}
{'name': 'kintegrityd', 'username': 'root', 'pid': 115, 'vms': 0.0}
{'name': 'kblockd', 'username': 'root', 'pid': 116, 'vms': 0.0}
{'name': 'blkcg_punt_bio', 'username': 'root', 'pid': 117, 'vms': 0.0}
{'name': 'tpm_dev_wq', 'username': 'root', 'pid': 118, 'vms': 0.0}
{'name': 'ata_sff', 'username': 'root', 'pid': 119, 'vms': 0.0}
{'name': 'md', 'username': 'root', 'pid': 120, 'vms': 0.0}
{'name': 'edac-poller', 'username': 'root', 'pid': 121, 'vms': 0.0}
{'name': 'devfreq_wq', 'username': 'root', 'pid': 122, 'vms': 0.0}
{'name': 'watchdogd', 'username': 'root', 'pid': 123, 'vms': 0.0}
{'name': 'kworker/3:1-events', 'username': 'root', 'pid': 124, 'vms': 0.0}
{'name': 'kworker/0:1H-kblockd', 'username': 'root', 'pid': 126, 'vms': 0.0}
{'name': 'kswapd0', 'username': 'root', 'pid': 128, 'vms': 0.0}
{'name': 'ecryptfs-kthrea', 'username': 'root', 'pid': 129, 'vms': 0.0}
{'name': 'kthrotld', 'username': 'root', 'pid': 131, 'vms': 0.0}
{'name': 'irq/123-aerdrv', 'username': 'root', 'pid': 132, 'vms': 0.0}
{'name': 'irq/123-pcie-dp', 'username': 'root', 'pid': 133, 'vms': 0.0}
{'name': 'irq/124-aerdrv', 'username': 'root', 'pid': 134, 'vms': 0.0}
{'name': 'irq/124-pcie-dp', 'username': 'root', 'pid': 135, 'vms': 0.0}
{'name': 'irq/125-aerdrv', 'username': 'root', 'pid': 136, 'vms': 0.0}
